id,name,latitude,longitude,description,category,owner_username,image
27,成都宴 (桐梓林店),30.618403507059696,104.06398291922551,位置: 桐梓林东路；人均: 700+；评价: 米其林一星，环境时尚，菜品融合川粤特色，海鲜需预订。,餐厅,serena,
28,柴门公馆 (桐梓林店),30.61735487694412,104.06035886187999,位置: 桐梓林东路10号-2号；人均: 260-500；评价: 川菜馆，环境雅致，菜品有特色。,餐厅,serena,
29,漾亚·雍雅合鲜 (桐梓林店),30.61569682433732,104.06018145675023,位置: 桐梓林东路；人均: 200-500+；评价: 米其林一星，主打高品质海鲜火锅。,餐厅,serena,
30,银滩鲍鱼火锅 (希望路店),30.61759174797089,104.06035332730954,位置: 希望路；人均: 500+；评价: 20年老牌高品质海鲜汤锅。,餐厅,serena,
31,其心西餐厅,30.613955154040823,104.05595457693528,位置: 桐梓林南路；人均: 200-400；评价: 欧式西餐，环境有格调。,餐厅,serena,
32,摩根扒房,30.613947002887443,104.05574509819417,位置: 桐梓林南路；人均: 300-500；评价: 西餐牛排，氛围较好。,其他,serena,
33,四季锅火锅 (桐梓林店),30.620649816455668,104.05983704444867,位置: 桐梓林东路9号附2号；人均: 100-200；评价: 环境宽敞，菜品丰富，有自助小吃。,餐厅,serena,
34,氟西汀Whisky&Cocktail Bar (桐梓林店),30.621169956144456,104.06020048489302,位置: 桐梓林区域；人均: 100-250；评价: 主打威士忌和鸡尾酒。,餐厅,serena,
35,音乐房子 (玉林店),30.622855185609637,104.05537491180615,位置: 玉林生活广场/桐梓林商业区；人均: 100-200；评价: 成都老牌音乐酒吧，众多歌手曾在此演出。,娱乐,serena,
36,桐梓林欧洲风情街,30.618720898710265,104.06001601618618,位置: 桐梓林北路与桐梓林东路交汇处周边；人均: 免费参观；评价: 仿欧建筑群，有特色小店和咖啡馆，适合拍照打卡。,景点,serena,
37,成都凯宾斯基饭店,30.620983284103445,104.06394307183433,位置: 人民南路四段；人均: 住宿及餐饮消费；评价: 五星级酒店，内含高档餐厅及酒吧。,住宿,serena,
38,成都首座万丽酒店,30.614864681479105,104.06388356785266,位置: 人民南路（天府立交北侧）；人均: 住宿及餐饮消费；评价: 五星级酒店，座拥桐梓林商业、娱乐和美食、购物中心区。,住宿,serena,
39,宝利汇,30.619878794378323,104.05988808223151,宝利汇奢侈品交流中心,购物,serena,
40,桐梓林社区邻里中心,30.621374183659924,104.06294503705755,桐梓林国际社区邻里中心,其他,serena,
41,桐梓林社区党群服务中心,30.620060045653133,104.05529187113478,桐梓林社区党群服务中心,其他,serena,
42,四川国际旅行卫生保健中心,30.618379527382046,104.05971199058763,四川国际旅行卫生保健中心,其他,serena,
43,建设银行（桐梓林片区支行）,30.61398030991981,104.05842697789956,位置: 武侯区桐梓林 / 人民南路片区,其他,serena,
